system,number_density,atom_types,unitcell_alpha,unitcell_beta,unitcell_gamma,unitcell_a,unitcell_b,unitcell_c,density,mean_coordination,packing_fraction,reduced_mass,average_mass,largest_pore_radius,bond_types,mean_bond_length,bond_variance,bond_std,bond_strain,electronegativity,effective_electronegativity,types_of_bond_angle,symmetry_number,pointgroup,mean_bond_angle,angle_variance,std_angle,types_puckering,max_puckering,mean_puckering,bond_density,energy,num_layers,layer_width,z_variance,spin_orbit_coupling,oxidation,entropy,linear_centre_fraction,alpha_max,alpha_max_temperature,alpha_300,saruration
oblique-heackelite,0.0367,1,90,103,90,5.5188,10,6.0861,0.44,3,0.0674,12,12,2.1563,6,1.4412,0.0042,0.0651,-0.0518,0,3.15,5,4,2/m,123,114.6159,10.7059,1,0.0032,0.0016,0.0471942938027788,-107.01920311,1,17.7814348024729,0,1296,0,0,0,-1.368634831,20,6.831706895,80
C2As2,0.0231,2,90,90,60,3.161,3.161,10,1.0054,2.71428571428571,0.1028,20.6897,43.5,1.766,1,1.9515,0,0,0.0008,0,3.15,1,6,3m,108,0,0,2,0.8915,0.4503,0.0308167943225867,-11.37328322,1,0.6911544,0.1194,1185921,0,5.76282565917539,0,0,0,60.343052758,10
TPH-graphene,0.0361,1,90,90,90,7.8415,7.0659,10,0.4332,2.65,0.0664,12,12,1.5319,4,1.4302,0.0017,0.0416,-0.0591,0,3.15,6,8,mmm,120,173.2124,13.161,1,0.0032,0.0016,0.0478274821209611,-177.79217417,1,0,0,1296,0,0,0,-7.927599928,100,-4.447242357,520
OPG-Z,0.0358,1,90,90,90,6.8976,4.8631,10,0.4293,2.6,0.0658,12,12,1.5262,3,1.4297,0.0009,0.0305,-0.0594,0,3.15,6,4,mm2,122,236.4021,15.3754,1,0.0032,0.0015,0.0454633574093798,-107.14818347,1,0,0,1296,0,0,0,-2.147846479,100,-0.003290615,310
DBP,0.037,3,90,90,90,8.1474,8.6336,10,0.4521,2.76923076923077,0.0681,12.1826,12.2308,1.6949,3,1.426,0.0021,0.046,-0.0608,0.1489,3.2046,6,4,2/m,118,85.8283,9.2644,1,0.0032,0.0016,0.0511787932306803,-232.49029175,1,0,0,2401,2,5.71248311563708,0,-7.897061625,150,-6.257022248,740
BGD-REC,0.0137,2,90,90,90,15.0864,11.5754,10,0.1638,2.08695652173913,0.0261,11.9098,11.9167,5.7507,5,1.3479,0.0122,0.1105,-0.1268,0.0269,3.1408,2,1,1,166,660.7066,25.7042,1,0.0032,0.0013,0.0140296100857042,-195.59259661,1,0.000685992588807416,0,1296,3,2.38475436312892,0,-12.372293694,80,-5.193512918,470
azugraphene,0.0374,1,90,90,120,10.8376,10.8376,10,0.4483,2.76,0.0687,12,12,1.4751,4,1.4295,0.0015,0.0393,-0.0595,0,3.15,4,12,-6m2,119,47.0788,6.8614,1,0.0032,0.0016,0.0511221020837628,-346.56137162,1,0,0,1296,0,0,0,-3.114471026,50,1.022289488,260
InSe,0.0139,2,90,90,90,7.039,4.0781,10,1.3516,2.8,0.134,93.6598,97,2.3124,1,2.701,0,0.0006,0.0309,1.08,2.83,1,4,m,98,0.023,0.1516,2,0.9878,0.5074,0.0176357242168401,-13.04357022,1,1.33098865,0.4429,5764801,3,5.76282565917539,0,0,0,98.809947026,10
B2N2,0.0352,2,91,94,90,2.493,4.566,10,0.4406,2.625,0.0718,12.32,12.5,1.372,2,1.4662,0.0067,0.082,-0.0522,0.3595,3.3,1,2,-1,120,0.0164,0.1281,1,0.0032,0.0016,0.0446069052974833,-32.18901917,1,0,0,2401,2,5.76282565917539,0,-8.734270731,230,-8.233072829,1000
MoTe2,0.0278,2,90,90,60,3.5281,3.5281,10,3.2654,4.97297297297297,0.3462,115.2,117.3333,1.8403,2,2.967,0.1356,0.3683,-0.0028,0.4683,2.9167,8,12,-6m2,93,925.2645,30.4182,3,0.9931,0.5846,0.0690194683326221,-18.98258969,1,3.62106114,2.1853,7311616,6,5.29197879520307,0,0,0,24.598457328,10
