system,number_density,atom_types,unitcell_alpha,unitcell_beta,unitcell_gamma,unitcell_a,unitcell_b,unitcell_c,density,mean_coordination,packing_fraction,reduced_mass,average_mass,largest_pore_radius,bond_types,mean_bond_length,bond_variance,bond_std,bond_strain,electronegativity,effective_electronegativity,types_of_bond_angle,symmetry_number,pointgroup,mean_bond_angle,angle_variance,std_angle,types_puckering,max_puckering,mean_puckering,bond_density,energy,num_layers,layer_width,z_variance,spin_orbit_coupling,oxidation,entropy,linear_centre_fraction,alpha_max,alpha_max_temperature,alpha_300,saruration
BC3,0.0345,2,90,90,60,5.175,5.175,10,0.4053,2.71428571428571,0.0698,11.7333,11.75,1.325,2,1.5029,0.0051,0.0714,-0.0437,0.0619,3.1225,1,24,6/mmm,120,0.0144,0.1201,1,0.0032,0.0016,0.045991468090109,-67.71986447,1,0,0,1296,3,4.67525439236077,0,-9.259483785,190,-7.882309382,720
BGD-HEX,0.0115,2,90,90,60,11.8457,11.8457,10,0.1366,2,0.0224,11.8462,11.8571,5.6914,3,1.3694,0.0166,0.129,-0.1229,0.0471,3.1343,2,2,m,163,738.2332,27.1704,0,0,0,0.01152066800851,-112.21343317,1,7.85337306297151E-08,0,1296,3,3.40970707024983,0,-12.219191443,50,-2.364462307,400
c10n9,0.0228,2,90,90,60,9.4368,9.4367,10.8077,0.2951,2.42105263157895,0.0382,12.871,12.9474,3.2734,3,1.3661,0.0024,0.0493,-0.0778,0.3209,3.3442,2,2,m,120,16.9845,4.1212,1,0.0032,0.0015,0.0298229857606958,-161.66780551,1,0,0,2401,2,5.751305101459,0,-4.613577802,60,5.175947829,180
THD-graphene,0.0303,1,90,90,120,6.7635,6.7635,10,0.3635,2.43478260869565,0.0557,12,12,3.527,2,1.429,0.0029,0.0541,-0.0599,0,3.15,3,24,6/mmm,123,429.0284,20.713,1,0.0032,0.0015,0.0359699098685215,-103.58673819,2,0,0,1296,0,0,0,-9.26233606,180,-8.115441307,1000
black-P,0.0264,1,90,90,90,3.3225,4.5541,10,0.8195,2.67741935483871,0.1357,31,31,1.4901,2,2.2327,0.0001,0.0119,0.0433,0,3.16,2,4,2/m,100,12.3108,3.5087,3,0.9834,0.5887,0.0346964356942391,-21.98025862,1,2.10313484,1.1058,50625,0,0,0,-4.317947216,60,11.935390943,130
IGP-P-S,0.0173,1,90,90,120,8.9409,8.9412,10,0.5373,2.66666666666667,0.0889,31,31,3.4821,1,2.2682,0.0001,0.0084,0.0599,0,3.16,3,1,1,92,187.3161,13.6863,4,0.9991,0.66,0.023110680896616,-63.45955128,1,1.25001824442178,0.3906,50625,0,0,0,-9.183901347,70,3.90855181,220
AsGD-REC,0.0175,2,90,90,90,9.0955,17.5495,10,0.3684,2.23809523809524,0.0453,13.6364,21,3.1909,5,1.4661,0.0624,0.2499,-0.0999,0,3.15,5,2,m,148,1065.4239,32.6408,1,0.0032,0.0017,0.0187945324428431,-217.10232115,1,0,0,1185921,0,3.40970707024983,0,-7.950141331,20,8.959852794,110
Si2Sb2,0.0142,2,90,90,60,4.033,4.033,10,1.0649,2.71428571428571,0.1205,45.5467,75,3.1981,1,2.5979,0,0,0.0392,0.23,2.935,1,2,m,102,0,0,2,0.9662,0.4879,0.0189312491091412,-8.61840338,1,1.15206161,0.3318,6765201,3,5.76282565917539,0,0,0,47.665474472,10
BBi,0.0154,2,90,90,60,3.875,3.875,10,1.6918,2.71428571428571,0.1242,20.9,110,2.0501,1,2.2372,0,0,-0.0398,0.35,2.865,1,12,-6m2,120,0,0,1,0.0032,0.0016,0.0205064357497197,-8.3849072,1,0,0,47458321,3,5.76282565917539,0,0,0,54.261229095,10
beta-β-Sn2P2,0.0305,2,90,90,60,3.8932,3.8932,10,2.2855,3.06451612903226,0.2496,49.1867,75,1.1727,2,2.5894,0.0124,0.1113,0.0305,0.4,2.92,2,12,-3m,105,58.6508,7.6584,2,0.9773,0.6016,0.0457101860970391,-19.26325068,1,5.20244788,4.3902,6250000,3,5.76282565917539,0,-7.420965979,50,8.184467131,140
6.6.6-GY,0.0292,1,90,90,90,6.8844,11.9243,10,0.3508,2.39473684210526,0.0538,12,12,1.9689,2,1.3762,0.006,0.0777,-0.0946,0,3.15,2,16,mmm,141,823.1368,28.6904,1,0.0032,0.0016,0.0334989151492819,-207.04368869,1,0,0,1296,0,0,0,-10.809669597,210,-9.881993317,1000
AlGD-HEX,0.0093,2,90,90,60,13.1815,13.1814,10,0.1316,2,0.0245,13.0345,14.1429,6.3628,3,1.5342,0.0984,0.3137,-0.1126,0.27,3.06,2,2,m,163,736.9512,27.1468,0,0,0,0.00930421485831459,-105.42566885,1,8.10781924265314E-07,0,28561,3,3.40970707024983,0,-15.337266135,50,-1.256258581,940
3,0.0361,1,90,90,120,10.736,10.736,10,0.4328,2.57746478873239,0.0663,12,12,5.4719,2,1.4168,0.0006,0.0248,-0.0679,0,3.15,1,4,2/m,120,4.9352,2.2215,1,0.0032,0.0016,0.0460838051234033,-318.85864143,1,0,0,1296,0,0,0,0,0,20.679880275,10
NGD-REC,0.019,2,90,90,90,9.0205,16.3102,10,0.2338,2.23255813953488,0.0341,12.25,12.2857,3.2409,4,1.34,0.0056,0.0745,-0.1114,0.0957,3.2086,3,8,mm2,148,832.2228,28.8483,1,0.0032,0.0017,0.020390784291565,-234.71548655,1,0,0,2401,1,3.40970707024983,0,-7.199439708,80,-3.127657711,480
